사용일자,노선명,역명,승차총승객수,하차총승객수
2016-01-08,공항철도,서울역,11243,9003
2016-01-09,공항철도,서울역,10187,9219
2016-01-10,공항철도,서울역,9192,7670
2016-01-11,공항철도,서울역,9261,8078
2016-01-12,공항철도,서울역,8884,7622
2016-01-13,공항철도,서울역,9134,7716
2016-01-14,공항철도,서울역,9544,8037
2016-01-15,공항철도,서울역,11337,9502
2016-01-16,공항철도,서울역,10469,9062
2016-01-17,공항철도,서울역,9298,7752
2016-01-18,공항철도,서울역,9137,7738
2016-01-19,공항철도,서울역,8378,7116
2016-01-20,공항철도,서울역,8735,7515
2016-01-21,공항철도,서울역,9295,7981
2016-01-22,공항철도,서울역,11086,9225
2016-01-23,공항철도,서울역,9653,8754
2016-01-24,공항철도,서울역,8368,7230
2016-01-25,공항철도,서울역,8870,7893
2016-01-26,공항철도,서울역,9088,7800
2016-01-27,공항철도,서울역,9406,7836
2016-01-28,공항철도,서울역,9175,8077
2016-01-29,공항철도,서울역,11037,9080
2016-01-30,공항철도,서울역,10070,9113
2016-01-31,공항철도,서울역,8505,7767
2016-02-01,공항철도,서울역,8515,7722
2016-02-02,공항철도,서울역,8405,7335
2016-02-03,공항철도,서울역,8507,7805
2016-02-04,공항철도,서울역,9110,8579
2016-02-05,공항철도,서울역,10067,11122
2016-02-06,공항철도,서울역,8219,10510
2016-02-07,공항철도,서울역,6724,8419
2016-02-08,공항철도,서울역,9824,7222
2016-02-09,공항철도,서울역,10740,6066
2016-02-10,공항철도,서울역,11729,7016
2016-02-11,공항철도,서울역,10639,7413
2016-02-12,공항철도,서울역,10506,8591
2016-02-13,공항철도,서울역,9915,8847
2016-02-14,공항철도,서울역,9089,7865
2016-02-15,공항철도,서울역,9535,8102
2016-02-16,공항철도,서울역,9511,8032
2016-02-17,공항철도,서울역,10089,8374
2016-02-18,공항철도,서울역,10199,8762
2016-02-19,공항철도,서울역,12104,10223
2016-02-20,공항철도,서울역,10608,9455
2016-02-21,공항철도,서울역,9699,8257
2016-02-22,공항철도,서울역,10270,9067
2016-02-23,공항철도,서울역,9927,8781
2016-02-24,공항철도,서울역,9946,8452
2016-02-25,공항철도,서울역,10481,8794
2016-02-26,공항철도,서울역,12142,10436
2016-02-27,공항철도,서울역,11043,10121
2016-02-28,공항철도,서울역,9561,8942
2016-02-29,공항철도,서울역,9769,8480
2016-03-01,공항철도,서울역,7963,6994
2016-03-02,공항철도,서울역,8361,7296
2016-03-03,공항철도,서울역,9084,7145
2016-03-04,공항철도,서울역,11364,8749
2016-03-05,공항철도,서울역,9546,8366
2016-03-06,공항철도,서울역,8923,7805
2016-03-07,공항철도,서울역,9111,7511
2016-03-08,공항철도,서울역,8574,7156
2016-03-09,공항철도,서울역,8724,7013
2016-03-10,공항철도,서울역,8944,7136
2016-03-11,공항철도,서울역,11564,9044
2016-03-12,공항철도,서울역,9970,8844
2016-03-13,공항철도,서울역,9172,7954
2016-03-14,공항철도,서울역,8981,7902
2016-03-15,공항철도,서울역,8605,7029
2016-03-16,공항철도,서울역,8896,7098
2016-03-17,공항철도,서울역,9536,7298
2016-03-18,공항철도,서울역,12270,9508
2016-03-19,공항철도,서울역,11430,9699
2016-03-20,공항철도,서울역,10064,8744
2016-03-21,공항철도,서울역,9744,7879
2016-03-22,공항철도,서울역,8972,7250
2016-03-23,공항철도,서울역,8970,7240
2016-03-24,공항철도,서울역,9646,7616
2016-03-25,공항철도,서울역,12223,9344
2016-03-26,공항철도,서울역,10986,9693
2016-03-27,공항철도,서울역,10059,8492
2016-03-28,공항철도,서울역,9716,8176
2016-03-29,공항철도,서울역,9082,7361
2016-03-30,공항철도,서울역,9105,7307
2016-03-31,공항철도,서울역,9338,7446
2016-04-01,공항철도,서울역,11458,9574
2016-04-02,공항철도,서울역,11127,9853
2016-04-03,공항철도,서울역,10133,8175
2016-04-04,공항철도,서울역,9742,8010
2016-04-05,공항철도,서울역,9160,7443
2016-04-06,공항철도,서울역,9756,7608
2016-04-07,공항철도,서울역,9685,7813
2016-04-08,공항철도,서울역,11951,9834
2016-04-09,공항철도,서울역,11404,10670
2016-04-10,공항철도,서울역,10421,8769
2016-04-11,공항철도,서울역,9743,8205
2016-04-12,공항철도,서울역,10261,7965
2016-04-13,공항철도,서울역,7583,6384
2016-04-14,공항철도,서울역,9575,7895
2016-04-15,공항철도,서울역,11425,9376
2016-04-16,공항철도,서울역,10018,9306
2016-04-17,공항철도,서울역,9646,8100
2016-04-18,공항철도,서울역,8903,7758
2016-04-19,공항철도,서울역,8996,7328
2016-04-20,공항철도,서울역,8934,7416
2016-04-21,공항철도,서울역,9278,7579
2016-04-22,공항철도,서울역,11678,9495
2016-04-23,공항철도,서울역,10451,9304
2016-04-24,공항철도,서울역,9682,8651
2016-04-25,공항철도,서울역,9292,7769
2016-04-26,공항철도,서울역,8931,7369
2016-04-27,공항철도,서울역,9115,7356
2016-04-28,공항철도,서울역,9859,7812
2016-04-29,공항철도,서울역,12763,10091
2016-04-30,공항철도,서울역,11361,9934
2016-05-01,공항철도,서울역,10599,8951
2016-05-02,공항철도,서울역,9344,8029
2016-05-03,공항철도,서울역,9688,8166
2016-05-04,공항철도,서울역,11929,9629
2016-05-05,공항철도,서울역,10663,9825
2016-05-06,공항철도,서울역,9871,8880
2016-05-07,공항철도,서울역,11271,9834
2016-05-08,공항철도,서울역,11173,9511
2016-05-09,공항철도,서울역,9857,7981
2016-05-10,공항철도,서울역,8625,7113
2016-05-11,공항철도,서울역,9153,7648
2016-05-12,공항철도,서울역,9412,7764
2016-05-13,공항철도,서울역,11984,9657
2016-05-14,공항철도,서울역,10822,9438
2016-05-15,공항철도,서울역,10605,8640
2016-05-16,공항철도,서울역,10240,8456
2016-05-17,공항철도,서울역,9839,7683
2016-05-18,공항철도,서울역,10083,7710
2016-05-19,공항철도,서울역,10541,8004
2016-05-20,공항철도,서울역,13109,10141
2016-05-21,공항철도,서울역,11974,10346
2016-05-22,공항철도,서울역,10973,9860
2016-05-23,공항철도,서울역,9962,8392
2016-05-24,공항철도,서울역,9024,7510
2016-05-25,공항철도,서울역,9545,7847
2016-05-26,공항철도,서울역,9973,7826
2016-05-27,공항철도,서울역,12472,9575
2016-05-28,공항철도,서울역,11093,9860
2016-05-29,공항철도,서울역,9917,8431
2016-05-30,공항철도,서울역,9593,8097
2016-05-31,공항철도,서울역,9007,7357
2016-06-01,공항철도,서울역,8980,7242
2016-06-02,공항철도,서울역,9833,7798
2016-06-03,공항철도,서울역,12559,10379
2016-06-04,공항철도,서울역,12207,11229
2016-06-05,공항철도,서울역,10106,8167
2016-06-06,공항철도,서울역,10830,8662
2016-06-07,공항철도,서울역,9540,7779
2016-06-08,공항철도,서울역,9589,7492
2016-06-09,공항철도,서울역,10308,7859
2016-06-10,공항철도,서울역,12183,9482
2016-06-11,공항철도,서울역,10905,9462
2016-06-12,공항철도,서울역,9762,8244
2016-06-13,공항철도,서울역,10004,8351
2016-06-14,공항철도,서울역,9367,7569
2016-06-15,공항철도,서울역,9143,7460
2016-06-16,공항철도,서울역,9967,7979
2016-06-17,공항철도,서울역,12531,9920
2016-06-18,공항철도,서울역,11458,10193
2016-06-19,공항철도,서울역,10309,8216
2016-06-20,공항철도,서울역,10425,8557
2016-06-21,공항철도,서울역,10278,7881
2016-06-22,공항철도,서울역,10368,8150
2016-06-23,공항철도,서울역,11102,8573
2016-06-24,공항철도,서울역,13210,10223
2016-06-25,공항철도,서울역,12178,10564
2016-06-26,공항철도,서울역,10740,8783
2016-06-27,공항철도,서울역,10525,8643
2016-06-28,공항철도,서울역,10103,8118
2016-06-29,공항철도,서울역,9997,7926
2016-06-30,공항철도,서울역,10054,8252
2016-07-01,공항철도,서울역,12198,10803
2016-07-02,공항철도,서울역,10515,8991
2016-07-03,공항철도,서울역,10167,8241
2016-07-04,공항철도,서울역,9821,8095
2016-07-05,공항철도,서울역,9020,7660
2016-07-06,공항철도,서울역,9448,7602
2016-07-07,공항철도,서울역,10217,7965
2016-07-08,공항철도,서울역,12088,9711
2016-07-09,공항철도,서울역,10726,9364
2016-07-10,공항철도,서울역,9863,7899
2016-07-11,공항철도,서울역,10100,8289
2016-07-12,공항철도,서울역,9510,7657
2016-07-13,공항철도,서울역,9673,7874
2016-07-14,공항철도,서울역,10063,8219
2016-07-15,공항철도,서울역,12277,9963
2016-07-16,공항철도,서울역,10229,8958
2016-07-17,공항철도,서울역,9885,8088
2016-07-18,공항철도,서울역,9942,8259
2016-07-19,공항철도,서울역,9497,7990
2016-07-20,공항철도,서울역,9498,8081
2016-07-21,공항철도,서울역,9922,8159
2016-07-22,공항철도,서울역,11701,10467
2016-07-23,공항철도,서울역,10314,9585
2016-07-24,공항철도,서울역,9880,8113
2016-07-25,공항철도,서울역,9810,8352
2016-07-26,공항철도,서울역,9466,8123
2016-07-27,공항철도,서울역,9454,7928
2016-07-28,공항철도,서울역,10152,8474
2016-07-29,공항철도,서울역,11710,9971
2016-07-30,공항철도,서울역,10592,9714
2016-07-31,공항철도,서울역,10189,8514
2016-08-01,공항철도,서울역,10766,9033
2016-08-02,공항철도,서울역,10152,8140
2016-08-03,공항철도,서울역,10078,8405
2016-08-04,공항철도,서울역,9744,8412
2016-08-05,공항철도,서울역,11474,9685
2016-08-06,공항철도,서울역,10160,8886
2016-08-07,공항철도,서울역,9725,7994
2016-08-08,공항철도,서울역,9932,8082
2016-08-09,공항철도,서울역,9232,7471
2016-08-10,공항철도,서울역,9813,7982
2016-08-11,공항철도,서울역,10014,8137
2016-08-12,공항철도,서울역,11947,10129
2016-08-13,공항철도,서울역,10883,10230
2016-08-14,공항철도,서울역,9467,7565
2016-08-15,공항철도,서울역,10695,7954
2016-08-16,공항철도,서울역,10334,7891
2016-08-17,공항철도,서울역,10223,8325
2016-08-18,공항철도,서울역,10321,8260
2016-08-19,공항철도,서울역,12609,9672
2016-08-20,공항철도,서울역,11594,9615
2016-08-21,공항철도,서울역,10018,8388
2016-08-22,공항철도,서울역,10014,8275
2016-08-23,공항철도,서울역,9861,7929
2016-08-24,공항철도,서울역,9807,8004
2016-08-25,공항철도,서울역,10138,8105
2016-08-26,공항철도,서울역,12252,9765
2016-08-27,공항철도,서울역,11401,9839
2016-08-28,공항철도,서울역,10580,8697
2016-08-29,공항철도,서울역,9922,8028
2016-08-30,공항철도,서울역,9354,7642
2016-08-31,공항철도,서울역,9249,7643
2016-09-01,공항철도,서울역,10031,7709
2016-09-02,공항철도,서울역,12158,9176
2016-09-03,공항철도,서울역,11343,9431
2016-09-04,공항철도,서울역,10423,8493
2016-09-05,공항철도,서울역,9779,8378
2016-09-06,공항철도,서울역,9583,7556
2016-09-07,공항철도,서울역,9424,7666
2016-09-08,공항철도,서울역,9745,7652
2016-09-09,공항철도,서울역,11573,9297
2016-09-10,공항철도,서울역,10325,8702
2016-09-11,공항철도,서울역,8364,7268
2016-09-12,공항철도,서울역,9209,8978
2016-09-13,공항철도,서울역,11338,11357
2016-09-14,공항철도,서울역,8608,10124
2016-09-15,공항철도,서울역,9834,7873
2016-09-16,공항철도,서울역,10958,6719
2016-09-17,공항철도,서울역,11457,6956
2016-09-18,공항철도,서울역,10956,8370
2016-09-19,공항철도,서울역,9864,7545
2016-09-20,공항철도,서울역,8746,7249
2016-09-21,공항철도,서울역,9267,7466
2016-09-22,공항철도,서울역,10389,7703
