사용일자,노선명,역명,승차총승객수,하차총승객수
2016-04-01,경의선,서울역,3817,4716
2016-04-02,경의선,서울역,2146,2113
2016-04-03,경의선,서울역,1602,1229
2016-04-04,경의선,서울역,3626,4555
2016-04-05,경의선,서울역,3676,4277
2016-04-06,경의선,서울역,3719,4347
2016-04-07,경의선,서울역,3680,4410
2016-04-08,경의선,서울역,3812,4577
2016-04-09,경의선,서울역,1918,2023
2016-04-10,경의선,서울역,1846,1320
2016-04-11,경의선,서울역,3735,4574
2016-04-12,경의선,서울역,3760,4605
2016-04-13,경의선,서울역,1624,1281
2016-04-14,경의선,서울역,3704,4559
2016-04-15,경의선,서울역,3932,4562
2016-04-16,경의선,서울역,1848,1772
2016-04-17,경의선,서울역,1667,1277
2016-04-18,경의선,서울역,3589,4516
2016-04-19,경의선,서울역,3668,4303
2016-04-20,경의선,서울역,3580,4191
2016-04-21,경의선,서울역,3676,4216
2016-04-22,경의선,서울역,3829,4501
2016-04-23,경의선,서울역,2010,1940
2016-04-24,경의선,서울역,1689,1292
2016-04-25,경의선,서울역,3627,4512
2016-04-26,경의선,서울역,3532,4265
2016-04-27,경의선,서울역,3587,4457
2016-04-28,경의선,서울역,3695,4318
2016-04-29,경의선,서울역,4013,4754
2016-04-30,경의선,서울역,2129,2062
2016-05-01,경의선,서울역,2080,1534
2016-05-02,경의선,서울역,3699,4619
2016-05-03,경의선,서울역,3268,4034
2016-05-04,경의선,서울역,4138,4863
2016-05-05,경의선,서울역,2087,2037
2016-05-06,경의선,서울역,2085,2585
2016-05-07,경의선,서울역,2091,1925
2016-05-08,경의선,서울역,1867,1393
2016-05-09,경의선,서울역,3861,4602
2016-05-10,경의선,서울역,3420,4012
2016-05-11,경의선,서울역,3560,4291
2016-05-12,경의선,서울역,3594,4520
2016-05-13,경의선,서울역,3897,5019
2016-05-14,경의선,서울역,2105,1911
2016-05-15,경의선,서울역,1650,1236
2016-05-16,경의선,서울역,300,2396
2016-05-17,경의선,서울역,246,2212
2016-05-18,경의선,서울역,267,2136
2016-05-19,경의선,서울역,251,2194
2016-05-20,경의선,서울역,219,2034
2016-05-21,경의선,서울역,2,1
2016-05-23,경의선,서울역,280,2443
2016-05-24,경의선,서울역,256,2032
2016-05-25,경의선,서울역,247,2173
2016-05-26,경의선,서울역,249,2114
2016-05-27,경의선,서울역,190,2019
2016-05-28,경의선,서울역,2,1
2016-05-30,경의선,서울역,271,2308
2016-05-31,경의선,서울역,241,2163
2016-06-01,경의선,서울역,218,2097
2016-06-02,경의선,서울역,217,2074
2016-06-03,경의선,서울역,190,1943
2016-06-05,경의선,서울역,1,0
2016-06-06,경의선,서울역,2,0
2016-06-07,경의선,서울역,282,2169
2016-06-08,경의선,서울역,219,2111
2016-06-09,경의선,서울역,257,2081
2016-06-10,경의선,서울역,215,1968
2016-06-13,경의선,서울역,264,2240
2016-06-14,경의선,서울역,216,2017
2016-06-15,경의선,서울역,199,1944
2016-06-16,경의선,서울역,209,1923
2016-06-17,경의선,서울역,184,1904
2016-06-18,경의선,서울역,1,0
2016-06-20,경의선,서울역,264,2206
2016-06-21,경의선,서울역,213,2030
2016-06-22,경의선,서울역,193,1954
2016-06-23,경의선,서울역,212,1942
2016-06-24,경의선,서울역,193,1734
2016-06-27,경의선,서울역,246,2113
2016-06-28,경의선,서울역,218,1885
2016-06-29,경의선,서울역,197,1908
2016-06-30,경의선,서울역,186,1894
2016-07-01,경의선,서울역,184,1604
2016-07-04,경의선,서울역,227,2084
2016-07-05,경의선,서울역,161,1735
2016-07-06,경의선,서울역,186,1920
2016-07-07,경의선,서울역,206,1910
2016-07-08,경의선,서울역,189,1867
2016-07-09,경의선,서울역,2,1
2016-07-11,경의선,서울역,225,2104
2016-07-12,경의선,서울역,191,1895
2016-07-13,경의선,서울역,214,1906
2016-07-14,경의선,서울역,212,1840
2016-07-15,경의선,서울역,179,1829
2016-07-16,경의선,서울역,929,1015
2016-07-17,경의선,서울역,900,871
2016-07-18,경의선,서울역,2265,3459
2016-07-19,경의선,서울역,2446,3430
2016-07-20,경의선,서울역,2556,3491
2016-07-21,경의선,서울역,2497,3589
2016-07-22,경의선,서울역,2748,3978
2016-07-23,경의선,서울역,1362,1408
2016-07-24,경의선,서울역,1067,916
2016-07-25,경의선,서울역,2696,3728
2016-07-26,경의선,서울역,2649,3598
2016-07-27,경의선,서울역,2762,3607
2016-07-28,경의선,서울역,2717,3673
2016-07-29,경의선,서울역,2915,3748
2016-07-30,경의선,서울역,1412,1434
2016-07-31,경의선,서울역,1418,1090
2016-08-01,경의선,서울역,2690,3690
2016-08-02,경의선,서울역,2858,3588
2016-08-03,경의선,서울역,2747,3462
2016-08-04,경의선,서울역,2744,3576
2016-08-05,경의선,서울역,2951,3752
2016-08-06,경의선,서울역,1455,1309
2016-08-07,경의선,서울역,1366,961
2016-08-08,경의선,서울역,2785,3511
2016-08-09,경의선,서울역,2766,3460
2016-08-10,경의선,서울역,2836,3617
2016-08-11,경의선,서울역,2788,3534
2016-08-12,경의선,서울역,2986,3841
2016-08-13,경의선,서울역,1372,1425
2016-08-14,경의선,서울역,1191,1076
2016-08-15,경의선,서울역,1460,1155
2016-08-16,경의선,서울역,2854,3614
2016-08-17,경의선,서울역,2836,3638
2016-08-18,경의선,서울역,2907,3606
2016-08-19,경의선,서울역,3299,4049
