탑승일자,버스정류장ARS번호,총승객수,승차총승객수,하차총승객수
2015-03-26,02003,2385.0,580.0,1805.0
2015-03-26,02006,7945.0,4995.0,2950.0
2015-03-26,02282,155.0,38.0,117.0
2015-03-27,02003,2584.0,700.0,1884.0
2015-03-27,02006,8718.0,5429.0,3289.0
2015-03-27,02282,189.0,41.0,148.0
2015-03-28,02003,2045.0,558.0,1487.0
2015-03-28,02006,6705.0,4287.0,2418.0
2015-03-28,02282,688.0,169.0,519.0
2015-03-29,02003,1419.0,413.0,1006.0
2015-03-29,02006,5945.0,4029.0,1916.0
2015-03-29,02282,377.0,69.0,308.0
2015-03-30,02003,2409.0,546.0,1863.0
2015-03-30,02006,7928.0,4961.0,2967.0
2015-03-30,02282,156.0,35.0,121.0
2015-03-31,02003,2357.0,577.0,1780.0
2015-03-31,02006,7806.0,4746.0,3060.0
2015-03-31,02282,51.0,7.0,44.0
2015-04-01,02003,2493.0,610.0,1883.0
2015-04-01,02006,7781.0,4741.0,3040.0
2015-04-01,02282,184.0,34.0,150.0
2015-04-02,02003,2365.0,608.0,1757.0
2015-04-02,02006,7639.0,4670.0,2969.0
2015-04-02,02282,124.0,37.0,87.0
2015-04-03,02003,2579.0,662.0,1917.0
2015-04-03,02006,8419.0,5332.0,3087.0
2015-04-03,02282,247.0,62.0,185.0
2015-04-04,02003,1839.0,543.0,1296.0
2015-04-04,02006,6712.0,4220.0,2492.0
2015-04-04,02282,617.0,164.0,453.0
2015-04-05,02003,1759.0,479.0,1280.0
2015-04-05,02006,5884.0,3925.0,1959.0
2015-04-05,02282,258.0,60.0,198.0
2015-04-06,02003,2426.0,598.0,1828.0
2015-04-06,02006,8009.0,4995.0,3014.0
2015-04-06,02282,141.0,35.0,106.0
2015-04-07,02003,2430.0,550.0,1880.0
2015-04-07,02006,8055.0,4989.0,3066.0
2015-04-07,02282,125.0,24.0,101.0
2015-04-08,02003,2497.0,609.0,1888.0
2015-04-08,02006,8030.0,4924.0,3106.0
2015-04-08,02282,141.0,41.0,100.0
2015-04-09,02003,2586.0,669.0,1917.0
2015-04-09,02006,8033.0,4933.0,3100.0
2015-04-09,02282,228.0,64.0,164.0
2015-04-10,02003,2553.0,659.0,1894.0
2015-04-10,02006,8508.0,5438.0,3070.0
2015-04-10,02282,427.0,125.0,302.0
2015-04-11,02003,2041.0,599.0,1442.0
2015-04-11,02006,7150.0,4511.0,2639.0
2015-04-11,02282,943.0,362.0,581.0
2015-04-12,02003,1569.0,538.0,1031.0
2015-04-12,02006,6296.0,4120.0,2176.0
2015-04-12,02282,781.0,310.0,471.0
2015-04-13,02003,2342.0,549.0,1793.0
2015-04-13,02006,7722.0,4758.0,2964.0
2015-04-13,02282,198.0,51.0,147.0
2015-04-14,02003,2252.0,560.0,1692.0
2015-04-14,02006,7273.0,4450.0,2823.0
2015-04-14,02282,77.0,17.0,60.0
2015-04-15,02003,2454.0,559.0,1895.0
2015-04-15,02006,8001.0,4916.0,3085.0
2015-04-15,02282,192.0,48.0,144.0
2015-04-16,02003,2363.0,657.0,1706.0
2015-04-16,02006,7097.0,4212.0,2885.0
2015-04-16,02282,91.0,35.0,56.0
2015-04-17,02003,2525.0,626.0,1899.0
2015-04-17,02006,8199.0,5178.0,3021.0
2015-04-17,02282,251.0,63.0,188.0
2015-04-18,02003,1614.0,527.0,1087.0
2015-04-18,02006,5963.0,3750.0,2213.0
2015-04-18,02282,660.0,263.0,397.0
2015-04-19,02003,1279.0,382.0,897.0
2015-04-19,02006,5084.0,3398.0,1686.0
2015-04-19,02282,145.0,28.0,117.0
2015-04-20,02003,2383.0,600.0,1783.0
2015-04-20,02006,7318.0,4557.0,2761.0
2015-04-20,02282,152.0,51.0,101.0
2015-04-21,02003,2282.0,571.0,1711.0
2015-04-21,02006,8069.0,4981.0,3088.0
2015-04-21,02282,162.0,50.0,112.0
2015-04-22,02003,2342.0,561.0,1781.0
2015-04-22,02006,7882.0,4920.0,2962.0
2015-04-22,02282,131.0,46.0,85.0
2015-04-23,02003,2488.0,643.0,1845.0
2015-04-23,02006,7964.0,5015.0,2949.0
2015-04-23,02282,176.0,39.0,137.0
2015-04-24,02003,2512.0,672.0,1840.0
2015-04-24,02006,8270.0,5112.0,3158.0
2015-04-24,02282,210.0,56.0,154.0
2015-04-25,02003,1934.0,577.0,1357.0
2015-04-25,02006,6827.0,4243.0,2584.0
2015-04-25,02282,580.0,198.0,382.0
2015-04-26,02003,1570.0,529.0,1041.0
2015-04-26,02006,6053.0,4086.0,1967.0
2015-04-26,02282,418.0,109.0,309.0
2015-04-27,02003,2350.0,564.0,1786.0
2015-04-27,02006,8058.0,5086.0,2972.0
2015-04-27,02282,318.0,70.0,248.0
2015-04-28,02003,2601.0,587.0,2014.0
2015-04-28,02006,8103.0,5078.0,3025.0
2015-04-28,02282,160.0,59.0,101.0
2015-04-29,02003,2397.0,601.0,1796.0
2015-04-29,02006,7545.0,4653.0,2892.0
2015-04-29,02282,91.0,31.0,60.0
2015-04-30,02003,2644.0,700.0,1944.0
2015-04-30,02006,8256.0,5070.0,3186.0
2015-04-30,02282,208.0,51.0,157.0
2015-05-01,02003,2393.0,637.0,1756.0
