역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
337,대청,승차,4280740,355293,318844,371491,375309,377260,346988,370411,333526,325070,373121,365054,368373
337,대청,하차,3770330,316638,282420,329912,331244,330288,304736,325162,290116,285222,329347,321443,323802
338,일원,승차,3544309,304198,266374,305540,308264,312536,285421,302463,278567,264445,305175,304174,307152
338,일원,하차,3697827,318541,279997,317220,320784,323656,297366,318945,292558,276718,317421,316105,318516
339,수서,승차,4110650,335200,298149,346832,347892,356006,330386,349467,330540,318649,365693,361250,370586
339,수서,하차,4183409,344673,304789,356322,354940,360284,337761,355961,335194,323866,369030,365090,375499
340,가락시장(3),승차,3218026,272459,242349,276214,272343,279936,261871,270527,254016,244585,278392,276486,288848
340,가락시장(3),하차,2945900,248514,221311,252492,249287,255744,239753,248584,232748,225790,255277,253455,262945
341,경찰병원,승차,2666889,232187,203274,229012,230535,232771,211798,229684,212820,198190,228923,225320,232375
341,경찰병원,하차,2607965,228493,200784,223728,225268,225535,207025,225147,208869,193918,224105,219130,225963
342,오금(3),승차,2522778,208762,186921,218119,218408,222733,206566,215731,199104,192746,219941,216497,217250
342,오금(3),하차,2193618,181419,162488,191175,189452,192848,180544,187469,173289,168175,191595,187225,187939
409,당고개,승차,4952491,382843,352383,428878,426864,452739,411791,414491,414427,391610,436549,418059,421857
409,당고개,하차,4632533,357283,329142,400958,397657,419531,388635,386948,392415,366145,408550,391401,393868
410,상계,승차,8582186,702571,633640,749287,742633,767086,697761,720202,676483,664286,751482,729324,747431
410,상계,하차,7659017,626647,566762,671678,663970,678836,625596,641243,603640,591353,670019,653362,665911
411,노원(4),승차,9067642,746918,687794,793992,769983,806443,734920,748063,723637,699096,786363,768724,801709
411,노원(4),하차,10100256,836369,769342,887102,857586,896287,817929,835460,805826,775671,871335,854271,893078
412,창동,승차,11655421,960650,868681,1012572,1000459,1037951,950993,972740,927121,910459,1018991,987175,1007629
412,창동,하차,12568397,1034927,933518,1094379,1082526,1115073,1025537,1043106,997622,985776,1097278,1072851,1085804
413,쌍문,승차,13088970,1094533,986856,1142878,1135508,1165629,1064407,1094015,1030235,999650,1128523,1103681,1143055
413,쌍문,하차,11121049,931183,841331,976457,968067,982936,904359,930151,873955,844863,955733,940195,971819
414,수유,승차,16953061,1357126,1243318,1495005,1480408,1533912,1387633,1377983,1323958,1323190,1496244,1457309,1476975
414,수유,하차,16455519,1325901,1214411,1454149,1440883,1484203,1344520,1332190,1284119,1278191,1446222,1418854,1431876
415,미아,승차,7194029,579245,523470,643861,641135,660015,587449,581669,546461,553379,627995,621450,627900
415,미아,하차,6482604,522586,471593,583339,579398,595000,529116,518417,486697,496584,566692,565546,567636
416,미아사거리,승차,13633429,1132231,1033174,1193927,1178230,1219376,1109633,1130467,1071800,1043371,1171530,1149591,1200099
